time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,mvpa,vpa,met
09:00:00,2016-08-30,86,335,09:00:00,36,1,35,2016-08-30 09:00:00,a001,0,0,0
09:15:00,2016-08-30,89,206,09:15:00,37,1,35,2016-08-30 09:15:00,a001,0,0,0
09:30:00,2016-08-30,108,390,09:30:00,38,1,35,2016-08-30 09:30:00,a001,0,0,0
09:45:00,2016-08-30,106,375,09:45:00,39,1,35,2016-08-30 09:45:00,a001,0,0,0
10:00:00,2016-08-30,100,480,10:00:00,40,1,35,2016-08-30 10:00:00,a001,0,0,0
10:15:00,2016-08-30,91,305,10:15:00,41,1,35,2016-08-30 10:15:00,a001,0,0,0
10:30:00,2016-08-30,94,115,10:30:00,42,1,35,2016-08-30 10:30:00,a001,0,0,0
10:45:00,2016-08-30,82,7,10:45:00,43,1,35,2016-08-30 10:45:00,a001,0,0,0
11:00:00,2016-08-30,79,13,11:00:00,44,1,35,2016-08-30 11:00:00,a001,0,0,0
11:30:00,2016-08-30,77,9,11:30:00,46,1,35,2016-08-30 11:30:00,a001,0,0,0
11:45:00,2016-08-30,80,56,11:45:00,47,1,35,2016-08-30 11:45:00,a001,0,0,0
12:15:00,2016-08-30,76,19,12:15:00,49,1,35,2016-08-30 12:15:00,a001,0,0,0
13:00:00,2016-08-30,73,6,13:00:00,52,1,35,2016-08-30 13:00:00,a001,0,0,0
13:45:00,2016-08-30,71,83,13:45:00,55,1,35,2016-08-30 13:45:00,a001,0,0,0
14:00:00,2016-08-30,68,38,14:00:00,56,1,35,2016-08-30 14:00:00,a001,0,0,0
14:45:00,2016-08-30,67,35,14:45:00,59,1,35,2016-08-30 14:45:00,a001,0,0,0
15:00:00,2016-08-30,100,909,15:00:00,60,1,35,2016-08-30 15:00:00,a001,0,0,0
15:45:00,2016-08-30,76,42,15:45:00,63,1,35,2016-08-30 15:45:00,a001,0,0,0
16:30:00,2016-08-30,78,83,16:30:00,66,1,35,2016-08-30 16:30:00,a001,0,0,0
17:15:00,2016-08-30,92,187,17:15:00,69,1,35,2016-08-30 17:15:00,a001,0,0,0
17:30:00,2016-08-30,87,33,17:30:00,70,1,35,2016-08-30 17:30:00,a001,0,0,0
17:45:00,2016-08-30,80,22,17:45:00,71,1,35,2016-08-30 17:45:00,a001,0,0,0
18:00:00,2016-08-30,77,7,18:00:00,72,1,35,2016-08-30 18:00:00,a001,0,0,0
18:30:00,2016-08-30,77,27,18:30:00,74,1,35,2016-08-30 18:30:00,a001,0,0,0
19:00:00,2016-08-30,76,4,19:00:00,76,1,35,2016-08-30 19:00:00,a001,0,0,0
19:15:00,2016-08-30,77,59,19:15:00,77,1,35,2016-08-30 19:15:00,a001,0,0,0
20:15:00,2016-08-30,78,181,20:15:00,81,1,35,2016-08-30 20:15:00,a001,0,0,0
20:30:00,2016-08-30,91,529,20:30:00,82,1,35,2016-08-30 20:30:00,a001,0,0,0
20:45:00,2016-08-30,71,157,20:45:00,83,1,35,2016-08-30 20:45:00,a001,0,0,0
21:45:00,2016-08-30,73,15,21:45:00,87,1,35,2016-08-30 21:45:00,a001,0,0,0
09:00:00,2016-08-31,84,46,09:00:00,36,2,35,2016-08-31 09:00:00,a001,0,0,0
09:15:00,2016-08-31,91,211,09:15:00,37,2,35,2016-08-31 09:15:00,a001,0,0,0
09:30:00,2016-08-31,104,1223,09:30:00,38,2,35,2016-08-31 09:30:00,a001,0,0,0
09:45:00,2016-08-31,103,627,09:45:00,39,2,35,2016-08-31 09:45:00,a001,0,0,0
10:00:00,2016-08-31,84,12,10:00:00,40,2,35,2016-08-31 10:00:00,a001,0,0,0
10:45:00,2016-08-31,73,24,10:45:00,43,2,35,2016-08-31 10:45:00,a001,0,0,0
11:15:00,2016-08-31,84,707,11:15:00,45,2,35,2016-08-31 11:15:00,a001,0,0,0
11:30:00,2016-08-31,92,1073,11:30:00,46,2,35,2016-08-31 11:30:00,a001,0,0,0
12:30:00,2016-08-31,83,273,12:30:00,50,2,35,2016-08-31 12:30:00,a001,0,0,0
12:45:00,2016-08-31,104,1059,12:45:00,51,2,35,2016-08-31 12:45:00,a001,0,0,0
13:00:00,2016-08-31,73,42,13:00:00,52,2,35,2016-08-31 13:00:00,a001,0,0,0
13:30:00,2016-08-31,81,37,13:30:00,54,2,35,2016-08-31 13:30:00,a001,0,0,0
13:45:00,2016-08-31,87,4,13:45:00,55,2,35,2016-08-31 13:45:00,a001,0,0,0
14:00:00,2016-08-31,102,895,14:00:00,56,2,35,2016-08-31 14:00:00,a001,0,0,0
14:15:00,2016-08-31,100,402,14:15:00,57,2,35,2016-08-31 14:15:00,a001,0,0,0
14:45:00,2016-08-31,70,65,14:45:00,59,2,35,2016-08-31 14:45:00,a001,0,0,0
15:15:00,2016-08-31,73,5,15:15:00,61,2,35,2016-08-31 15:15:00,a001,0,0,0
15:45:00,2016-08-31,69,32,15:45:00,63,2,35,2016-08-31 15:45:00,a001,0,0,0
16:00:00,2016-08-31,71,18,16:00:00,64,2,35,2016-08-31 16:00:00,a001,0,0,0
16:15:00,2016-08-31,72,55,16:15:00,65,2,35,2016-08-31 16:15:00,a001,0,0,0
17:30:00,2016-08-31,71,287,17:30:00,70,2,35,2016-08-31 17:30:00,a001,0,0,0
17:45:00,2016-08-31,68,67,17:45:00,71,2,35,2016-08-31 17:45:00,a001,0,0,0
18:00:00,2016-08-31,68,12,18:00:00,72,2,35,2016-08-31 18:00:00,a001,0,0,0
18:45:00,2016-08-31,64,10,18:45:00,75,2,35,2016-08-31 18:45:00,a001,0,0,0
19:00:00,2016-08-31,66,7,19:00:00,76,2,35,2016-08-31 19:00:00,a001,0,0,0
19:15:00,2016-08-31,83,559,19:15:00,77,2,35,2016-08-31 19:15:00,a001,0,0,0
19:30:00,2016-08-31,88,369,19:30:00,78,2,35,2016-08-31 19:30:00,a001,0,0,0
20:30:00,2016-08-31,73,84,20:30:00,82,2,35,2016-08-31 20:30:00,a001,0,0,0
21:00:00,2016-08-31,118,24,21:00:00,84,2,35,2016-08-31 21:00:00,a001,0,0,0
21:15:00,2016-08-31,80,15,21:15:00,85,2,35,2016-08-31 21:15:00,a001,0,0,0
22:15:00,2016-08-31,80,80,22:15:00,89,2,35,2016-08-31 22:15:00,a001,0,0,0
22:45:00,2016-08-31,85,27,22:45:00,91,2,35,2016-08-31 22:45:00,a001,0,0,0
23:00:00,2016-08-31,93,401,23:00:00,92,2,35,2016-08-31 23:00:00,a001,0,0,0
23:15:00,2016-08-31,88,155,23:15:00,93,2,35,2016-08-31 23:15:00,a001,0,0,0
23:30:00,2016-08-31,69,9,23:30:00,94,2,35,2016-08-31 23:30:00,a001,0,0,0
23:45:00,2016-08-31,75,66,23:45:00,95,2,35,2016-08-31 23:45:00,a001,0,0,0
01:45:00,2016-09-01,59,7,01:45:00,7,3,35,2016-09-01 01:45:00,a001,0,0,0
02:30:00,2016-09-01,57,13,02:30:00,10,3,35,2016-09-01 02:30:00,a001,0,0,0
06:15:00,2016-09-01,56,9,06:15:00,25,3,35,2016-09-01 06:15:00,a001,0,0,0
07:15:00,2016-09-01,54,13,07:15:00,29,3,35,2016-09-01 07:15:00,a001,0,0,0
08:00:00,2016-09-01,64,30,08:00:00,32,3,35,2016-09-01 08:00:00,a001,0,0,0
08:15:00,2016-09-01,81,244,08:15:00,33,3,35,2016-09-01 08:15:00,a001,0,0,0
08:30:00,2016-09-01,81,63,08:30:00,34,3,35,2016-09-01 08:30:00,a001,0,0,0
08:45:00,2016-09-01,89,382,08:45:00,35,3,35,2016-09-01 08:45:00,a001,0,0,0
