,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong
51,12:45:00,2016-08-29,79,0,12:45:00,51,0,35,2016-08-29 12:45:00,a001,True,1,0
52,13:00:00,2016-08-29,76,0,13:00:00,52,0,35,2016-08-29 13:00:00,a001,True,0,0
53,13:15:00,2016-08-29,74,30,13:15:00,53,0,35,2016-08-29 13:15:00,a001,False,0,0
54,13:30:00,2016-08-29,103,366,13:30:00,54,0,35,2016-08-29 13:30:00,a001,False,0,0
55,13:45:00,2016-08-29,108,657,13:45:00,55,0,35,2016-08-29 13:45:00,a001,False,0,0
56,14:00:00,2016-08-29,74,0,14:00:00,56,0,35,2016-08-29 14:00:00,a001,True,3,0
57,14:15:00,2016-08-29,77,0,14:15:00,57,0,35,2016-08-29 14:15:00,a001,True,0,0
58,14:30:00,2016-08-29,73,0,14:30:00,58,0,35,2016-08-29 14:30:00,a001,True,0,0
59,14:45:00,2016-08-29,68,0,14:45:00,59,0,35,2016-08-29 14:45:00,a001,True,0,0
60,15:00:00,2016-08-29,67,8,15:00:00,60,0,35,2016-08-29 15:00:00,a001,False,0,0
61,15:15:00,2016-08-29,67,0,15:15:00,61,0,35,2016-08-29 15:15:00,a001,True,0,0
62,15:30:00,2016-08-29,82,312,15:30:00,62,0,35,2016-08-29 15:30:00,a001,False,0,0
63,15:45:00,2016-08-29,91,458,15:45:00,63,0,35,2016-08-29 15:45:00,a001,False,0,0
64,16:00:00,2016-08-29,81,40,16:00:00,64,0,35,2016-08-29 16:00:00,a001,False,0,0
65,16:15:00,2016-08-29,92,426,16:15:00,65,0,35,2016-08-29 16:15:00,a001,False,0,0
66,16:30:00,2016-08-29,70,0,16:30:00,66,0,35,2016-08-29 16:30:00,a001,True,1,0
67,16:45:00,2016-08-29,68,0,16:45:00,67,0,35,2016-08-29 16:45:00,a001,True,0,0
68,17:00:00,2016-08-29,71,24,17:00:00,68,0,35,2016-08-29 17:00:00,a001,False,0,0
69,17:15:00,2016-08-29,79,0,17:15:00,69,0,35,2016-08-29 17:15:00,a001,True,2,0
70,17:30:00,2016-08-29,78,0,17:30:00,70,0,35,2016-08-29 17:30:00,a001,True,0,0
71,17:45:00,2016-08-29,80,0,17:45:00,71,0,35,2016-08-29 17:45:00,a001,True,0,0
72,18:00:00,2016-08-29,86,86,18:00:00,72,0,35,2016-08-29 18:00:00,a001,False,0,0
73,18:15:00,2016-08-29,103,226,18:15:00,73,0,35,2016-08-29 18:15:00,a001,False,0,0
74,18:30:00,2016-08-29,100,238,18:30:00,74,0,35,2016-08-29 18:30:00,a001,False,0,0
75,18:45:00,2016-08-29,115,708,18:45:00,75,0,35,2016-08-29 18:45:00,a001,False,0,0
76,19:00:00,2016-08-29,112,388,19:00:00,76,0,35,2016-08-29 19:00:00,a001,False,0,0
77,19:15:00,2016-08-29,104,166,19:15:00,77,0,35,2016-08-29 19:15:00,a001,False,0,0
78,19:30:00,2016-08-29,96,46,19:30:00,78,0,35,2016-08-29 19:30:00,a001,False,0,0
79,19:45:00,2016-08-29,82,0,19:45:00,79,0,35,2016-08-29 19:45:00,a001,True,0,0
80,20:00:00,2016-08-29,86,34,20:00:00,80,0,35,2016-08-29 20:00:00,a001,False,0,0
81,20:15:00,2016-08-29,101,240,20:15:00,81,0,35,2016-08-29 20:15:00,a001,False,0,0
82,20:30:00,2016-08-29,95,108,20:30:00,82,0,35,2016-08-29 20:30:00,a001,False,0,0
83,20:45:00,2016-08-29,97,109,20:45:00,83,0,35,2016-08-29 20:45:00,a001,False,0,0
84,21:00:00,2016-08-29,97,127,21:00:00,84,0,35,2016-08-29 21:00:00,a001,False,0,0
85,21:15:00,2016-08-29,99,862,21:15:00,85,0,35,2016-08-29 21:15:00,a001,False,0,0
86,21:30:00,2016-08-29,105,1043,21:30:00,86,0,35,2016-08-29 21:30:00,a001,False,0,0
87,21:45:00,2016-08-29,110,408,21:45:00,87,0,35,2016-08-29 21:45:00,a001,False,0,0
88,22:00:00,2016-08-29,0,0,22:00:00,88,0,35,2016-08-29 22:00:00,a001,False,0,0
89,22:15:00,2016-08-29,0,0,22:15:00,89,0,35,2016-08-29 22:15:00,a001,False,0,0
90,22:30:00,2016-08-29,0,0,22:30:00,90,0,35,2016-08-29 22:30:00,a001,False,0,0
