,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong,1,2,3,4,5,6,7
705,08:15:00,2016-11-14,58,0,08:15:00,33,0,46,2016-11-14 08:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,08:30:00,2016-11-14,58,0,08:30:00,34,0,46,2016-11-14 08:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,08:45:00,2016-11-14,57,0,08:45:00,35,0,46,2016-11-14 08:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,09:00:00,2016-11-14,64,0,09:00:00,36,0,46,2016-11-14 09:00:00,a001,True,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
709,09:15:00,2016-11-14,59,0,09:15:00,37,0,46,2016-11-14 09:15:00,a001,True,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
710,09:30:00,2016-11-14,59,0,09:30:00,38,0,46,2016-11-14 09:30:00,a001,True,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
711,09:45:00,2016-11-14,77,94,09:45:00,39,0,46,2016-11-14 09:45:00,a001,False,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
712,10:00:00,2016-11-14,83,232,10:00:00,40,0,46,2016-11-14 10:00:00,a001,False,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
713,10:15:00,2016-11-14,74,0,10:15:00,41,0,46,2016-11-14 10:15:00,a001,True,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
714,10:30:00,2016-11-14,72,0,10:30:00,42,0,46,2016-11-14 10:30:00,a001,True,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
715,10:45:00,2016-11-14,68,0,10:45:00,43,0,46,2016-11-14 10:45:00,a001,True,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
716,11:00:00,2016-11-14,73,35,11:00:00,44,0,46,2016-11-14 11:00:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
717,11:15:00,2016-11-14,75,0,11:15:00,45,0,46,2016-11-14 11:15:00,a001,True,7,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
718,11:30:00,2016-11-14,69,0,11:30:00,46,0,46,2016-11-14 11:30:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
719,11:45:00,2016-11-14,68,0,11:45:00,47,0,46,2016-11-14 11:45:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
720,12:00:00,2016-11-14,70,0,12:00:00,48,0,46,2016-11-14 12:00:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
721,12:15:00,2016-11-14,67,0,12:15:00,49,0,46,2016-11-14 12:15:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
722,12:30:00,2016-11-14,69,0,12:30:00,50,0,46,2016-11-14 12:30:00,a001,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
723,12:45:00,2016-11-14,66,0,12:45:00,51,0,46,2016-11-14 12:45:00,a001,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
724,13:00:00,2016-11-14,65,0,13:00:00,52,0,46,2016-11-14 13:00:00,a001,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
725,13:15:00,2016-11-14,65,6,13:15:00,53,0,46,2016-11-14 13:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
726,13:30:00,2016-11-14,66,0,13:30:00,54,0,46,2016-11-14 13:30:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
727,13:45:00,2016-11-14,71,135,13:45:00,55,0,46,2016-11-14 13:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
728,14:00:00,2016-11-14,107,880,14:00:00,56,0,46,2016-11-14 14:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
729,14:15:00,2016-11-14,97,395,14:15:00,57,0,46,2016-11-14 14:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
730,14:30:00,2016-11-14,89,0,14:30:00,58,0,46,2016-11-14 14:30:00,a001,True,10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
731,14:45:00,2016-11-14,76,0,14:45:00,59,0,46,2016-11-14 14:45:00,a001,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
732,15:00:00,2016-11-14,71,0,15:00:00,60,0,46,2016-11-14 15:00:00,a001,True,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
733,15:15:00,2016-11-14,71,0,15:15:00,61,0,46,2016-11-14 15:15:00,a001,True,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
734,15:30:00,2016-11-14,74,0,15:30:00,62,0,46,2016-11-14 15:30:00,a001,True,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
735,15:45:00,2016-11-14,74,0,15:45:00,63,0,46,2016-11-14 15:45:00,a001,True,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
736,16:00:00,2016-11-14,67,0,16:00:00,64,0,46,2016-11-14 16:00:00,a001,True,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0
737,16:15:00,2016-11-14,59,0,16:15:00,65,0,46,2016-11-14 16:15:00,a001,True,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0
738,16:30:00,2016-11-14,58,0,16:30:00,66,0,46,2016-11-14 16:30:00,a001,True,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0
739,16:45:00,2016-11-14,56,0,16:45:00,67,0,46,2016-11-14 16:45:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
740,17:00:00,2016-11-14,54,0,17:00:00,68,0,46,2016-11-14 17:00:00,a001,True,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
741,17:15:00,2016-11-14,52,17,17:15:00,69,0,46,2016-11-14 17:15:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
742,17:30:00,2016-11-14,54,0,17:30:00,70,0,46,2016-11-14 17:30:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
743,17:45:00,2016-11-14,64,9,17:45:00,71,0,46,2016-11-14 17:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,18:00:00,2016-11-14,62,0,18:00:00,72,0,46,2016-11-14 18:00:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,18:15:00,2016-11-14,68,108,18:15:00,73,0,46,2016-11-14 18:15:00,a001,False,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
746,18:30:00,2016-11-14,69,12,18:30:00,74,0,46,2016-11-14 18:30:00,a001,False,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
747,18:45:00,2016-11-14,64,0,18:45:00,75,0,46,2016-11-14 18:45:00,a001,True,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
748,19:00:00,2016-11-14,63,6,19:00:00,76,0,46,2016-11-14 19:00:00,a001,False,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
749,19:15:00,2016-11-14,67,0,19:15:00,77,0,46,2016-11-14 19:15:00,a001,True,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
750,19:30:00,2016-11-14,73,42,19:30:00,78,0,46,2016-11-14 19:30:00,a001,False,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
751,19:45:00,2016-11-14,67,0,19:45:00,79,0,46,2016-11-14 19:45:00,a001,True,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
752,20:00:00,2016-11-14,69,0,20:00:00,80,0,46,2016-11-14 20:00:00,a001,True,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
753,20:15:00,2016-11-14,70,0,20:15:00,81,0,46,2016-11-14 20:15:00,a001,True,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
754,20:30:00,2016-11-14,69,0,20:30:00,82,0,46,2016-11-14 20:30:00,a001,True,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
755,20:45:00,2016-11-14,88,127,20:45:00,83,0,46,2016-11-14 20:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
756,21:00:00,2016-11-14,92,412,21:00:00,84,0,46,2016-11-14 21:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
757,21:15:00,2016-11-14,119,1278,21:15:00,85,0,46,2016-11-14 21:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
758,21:30:00,2016-11-14,133,1923,21:30:00,86,0,46,2016-11-14 21:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
759,21:45:00,2016-11-14,139,1998,21:45:00,87,0,46,2016-11-14 21:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
760,22:00:00,2016-11-14,103,1312,22:00:00,88,0,46,2016-11-14 22:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
761,22:15:00,2016-11-14,111,718,22:15:00,89,0,46,2016-11-14 22:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
762,22:30:00,2016-11-14,90,0,22:30:00,90,0,46,2016-11-14 22:30:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
763,22:45:00,2016-11-14,92,15,22:45:00,91,0,46,2016-11-14 22:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
764,23:00:00,2016-11-14,0,0,23:00:00,92,0,46,2016-11-14 23:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
765,23:15:00,2016-11-14,86,92,23:15:00,93,0,46,2016-11-14 23:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,23:30:00,2016-11-14,83,48,23:30:00,94,0,46,2016-11-14 23:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,23:45:00,2016-11-14,76,0,23:45:00,95,0,46,2016-11-14 23:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,00:00:00,2016-11-15,75,0,00:00:00,0,1,46,2016-11-15 00:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,00:15:00,2016-11-15,70,0,00:15:00,1,1,46,2016-11-15 00:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,00:30:00,2016-11-15,81,157,00:30:00,2,1,46,2016-11-15 00:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,00:45:00,2016-11-15,71,9,00:45:00,3,1,46,2016-11-15 00:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,01:00:00,2016-11-15,59,0,01:00:00,4,1,46,2016-11-15 01:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,01:15:00,2016-11-15,57,0,01:15:00,5,1,46,2016-11-15 01:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
