time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id
15:15:00,2016-11-07,88,0,15:15:00,61,0,45,2016-11-07 15:15:00,a001
15:30:00,2016-11-07,92,0,15:30:00,62,0,45,2016-11-07 15:30:00,a001
15:45:00,2016-11-07,76,0,15:45:00,63,0,45,2016-11-07 15:45:00,a001
16:00:00,2016-11-07,82,0,16:00:00,64,0,45,2016-11-07 16:00:00,a001
16:15:00,2016-11-07,0,0,16:15:00,65,0,45,2016-11-07 16:15:00,a001
16:30:00,2016-11-07,0,0,16:30:00,66,0,45,2016-11-07 16:30:00,a001
16:45:00,2016-11-07,0,0,16:45:00,67,0,45,2016-11-07 16:45:00,a001
17:00:00,2016-11-07,0,0,17:00:00,68,0,45,2016-11-07 17:00:00,a001
17:15:00,2016-11-07,0,0,17:15:00,69,0,45,2016-11-07 17:15:00,a001
17:30:00,2016-11-07,0,0,17:30:00,70,0,45,2016-11-07 17:30:00,a001
17:45:00,2016-11-07,0,0,17:45:00,71,0,45,2016-11-07 17:45:00,a001
18:00:00,2016-11-07,0,0,18:00:00,72,0,45,2016-11-07 18:00:00,a001
18:15:00,2016-11-07,0,0,18:15:00,73,0,45,2016-11-07 18:15:00,a001
18:30:00,2016-11-07,0,0,18:30:00,74,0,45,2016-11-07 18:30:00,a001
18:45:00,2016-11-07,0,0,18:45:00,75,0,45,2016-11-07 18:45:00,a001
19:00:00,2016-11-07,0,0,19:00:00,76,0,45,2016-11-07 19:00:00,a001
19:15:00,2016-11-07,0,0,19:15:00,77,0,45,2016-11-07 19:15:00,a001
19:30:00,2016-11-07,0,0,19:30:00,78,0,45,2016-11-07 19:30:00,a001
19:45:00,2016-11-07,0,0,19:45:00,79,0,45,2016-11-07 19:45:00,a001
20:00:00,2016-11-07,0,0,20:00:00,80,0,45,2016-11-07 20:00:00,a001
20:15:00,2016-11-07,0,0,20:15:00,81,0,45,2016-11-07 20:15:00,a001
20:30:00,2016-11-07,73,0,20:30:00,82,0,45,2016-11-07 20:30:00,a001
20:45:00,2016-11-07,70,0,20:45:00,83,0,45,2016-11-07 20:45:00,a001
21:00:00,2016-11-07,76,0,21:00:00,84,0,45,2016-11-07 21:00:00,a001
21:15:00,2016-11-07,79,0,21:15:00,85,0,45,2016-11-07 21:15:00,a001
21:30:00,2016-11-07,79,0,21:30:00,86,0,45,2016-11-07 21:30:00,a001
21:45:00,2016-11-07,73,0,21:45:00,87,0,45,2016-11-07 21:45:00,a001
22:00:00,2016-11-07,62,0,22:00:00,88,0,45,2016-11-07 22:00:00,a001
22:15:00,2016-11-07,65,0,22:15:00,89,0,45,2016-11-07 22:15:00,a001
22:30:00,2016-11-07,64,0,22:30:00,90,0,45,2016-11-07 22:30:00,a001
22:45:00,2016-11-07,60,0,22:45:00,91,0,45,2016-11-07 22:45:00,a001
23:00:00,2016-11-07,55,0,23:00:00,92,0,45,2016-11-07 23:00:00,a001
23:15:00,2016-11-07,54,0,23:15:00,93,0,45,2016-11-07 23:15:00,a001
23:30:00,2016-11-07,55,0,23:30:00,94,0,45,2016-11-07 23:30:00,a001
23:45:00,2016-11-07,68,0,23:45:00,95,0,45,2016-11-07 23:45:00,a001
00:00:00,2016-11-08,60,0,00:00:00,0,1,45,2016-11-08 00:00:00,a001
00:15:00,2016-11-08,62,0,00:15:00,1,1,45,2016-11-08 00:15:00,a001
00:30:00,2016-11-08,58,0,00:30:00,2,1,45,2016-11-08 00:30:00,a001
00:45:00,2016-11-08,61,0,00:45:00,3,1,45,2016-11-08 00:45:00,a001
01:00:00,2016-11-08,61,0,01:00:00,4,1,45,2016-11-08 01:00:00,a001
01:15:00,2016-11-08,54,0,01:15:00,5,1,45,2016-11-08 01:15:00,a001
01:30:00,2016-11-08,57,0,01:30:00,6,1,45,2016-11-08 01:30:00,a001
01:45:00,2016-11-08,54,0,01:45:00,7,1,45,2016-11-08 01:45:00,a001
02:00:00,2016-11-08,51,0,02:00:00,8,1,45,2016-11-08 02:00:00,a001
02:15:00,2016-11-08,49,0,02:15:00,9,1,45,2016-11-08 02:15:00,a001
02:30:00,2016-11-08,49,0,02:30:00,10,1,45,2016-11-08 02:30:00,a001
02:45:00,2016-11-08,53,0,02:45:00,11,1,45,2016-11-08 02:45:00,a001
03:00:00,2016-11-08,53,0,03:00:00,12,1,45,2016-11-08 03:00:00,a001
03:15:00,2016-11-08,50,0,03:15:00,13,1,45,2016-11-08 03:15:00,a001
03:30:00,2016-11-08,49,0,03:30:00,14,1,45,2016-11-08 03:30:00,a001
03:45:00,2016-11-08,49,0,03:45:00,15,1,45,2016-11-08 03:45:00,a001
04:00:00,2016-11-08,49,0,04:00:00,16,1,45,2016-11-08 04:00:00,a001
04:15:00,2016-11-08,57,0,04:15:00,17,1,45,2016-11-08 04:15:00,a001
04:30:00,2016-11-08,57,0,04:30:00,18,1,45,2016-11-08 04:30:00,a001
04:45:00,2016-11-08,54,0,04:45:00,19,1,45,2016-11-08 04:45:00,a001
05:00:00,2016-11-08,52,0,05:00:00,20,1,45,2016-11-08 05:00:00,a001
05:15:00,2016-11-08,51,0,05:15:00,21,1,45,2016-11-08 05:15:00,a001
05:30:00,2016-11-08,51,0,05:30:00,22,1,45,2016-11-08 05:30:00,a001
05:45:00,2016-11-08,54,0,05:45:00,23,1,45,2016-11-08 05:45:00,a001
06:00:00,2016-11-08,55,0,06:00:00,24,1,45,2016-11-08 06:00:00,a001
06:15:00,2016-11-08,52,0,06:15:00,25,1,45,2016-11-08 06:15:00,a001
06:30:00,2016-11-08,53,0,06:30:00,26,1,45,2016-11-08 06:30:00,a001
06:45:00,2016-11-08,52,0,06:45:00,27,1,45,2016-11-08 06:45:00,a001
07:00:00,2016-11-08,64,0,07:00:00,28,1,45,2016-11-08 07:00:00,a001
07:15:00,2016-11-08,71,18,07:15:00,29,1,45,2016-11-08 07:15:00,a001
07:30:00,2016-11-08,85,10,07:30:00,30,1,45,2016-11-08 07:30:00,a001
07:45:00,2016-11-08,70,0,07:45:00,31,1,45,2016-11-08 07:45:00,a001
08:00:00,2016-11-08,67,0,08:00:00,32,1,45,2016-11-08 08:00:00,a001
08:15:00,2016-11-08,68,0,08:15:00,33,1,45,2016-11-08 08:15:00,a001
08:30:00,2016-11-08,66,14,08:30:00,34,1,45,2016-11-08 08:30:00,a001
08:45:00,2016-11-08,63,0,08:45:00,35,1,45,2016-11-08 08:45:00,a001
09:00:00,2016-11-08,67,0,09:00:00,36,1,45,2016-11-08 09:00:00,a001
09:15:00,2016-11-08,76,62,09:15:00,37,1,45,2016-11-08 09:15:00,a001
09:30:00,2016-11-08,77,318,09:30:00,38,1,45,2016-11-08 09:30:00,a001
09:45:00,2016-11-08,96,378,09:45:00,39,1,45,2016-11-08 09:45:00,a001
10:00:00,2016-11-08,102,1284,10:00:00,40,1,45,2016-11-08 10:00:00,a001
10:15:00,2016-11-08,94,658,10:15:00,41,1,45,2016-11-08 10:15:00,a001
10:30:00,2016-11-08,80,103,10:30:00,42,1,45,2016-11-08 10:30:00,a001
10:45:00,2016-11-08,76,0,10:45:00,43,1,45,2016-11-08 10:45:00,a001
11:00:00,2016-11-08,72,14,11:00:00,44,1,45,2016-11-08 11:00:00,a001
11:15:00,2016-11-08,76,0,11:15:00,45,1,45,2016-11-08 11:15:00,a001
11:30:00,2016-11-08,73,0,11:30:00,46,1,45,2016-11-08 11:30:00,a001
11:45:00,2016-11-08,77,0,11:45:00,47,1,45,2016-11-08 11:45:00,a001
12:00:00,2016-11-08,87,558,12:00:00,48,1,45,2016-11-08 12:00:00,a001
12:15:00,2016-11-08,116,1106,12:15:00,49,1,45,2016-11-08 12:15:00,a001
12:30:00,2016-11-08,89,168,12:30:00,50,1,45,2016-11-08 12:30:00,a001
12:45:00,2016-11-08,73,0,12:45:00,51,1,45,2016-11-08 12:45:00,a001
13:00:00,2016-11-08,74,13,13:00:00,52,1,45,2016-11-08 13:00:00,a001
13:15:00,2016-11-08,80,0,13:15:00,53,1,45,2016-11-08 13:15:00,a001
13:30:00,2016-11-08,80,54,13:30:00,54,1,45,2016-11-08 13:30:00,a001
13:45:00,2016-11-08,65,0,13:45:00,55,1,45,2016-11-08 13:45:00,a001
14:00:00,2016-11-08,64,0,14:00:00,56,1,45,2016-11-08 14:00:00,a001
14:15:00,2016-11-08,60,0,14:15:00,57,1,45,2016-11-08 14:15:00,a001
14:30:00,2016-11-08,65,0,14:30:00,58,1,45,2016-11-08 14:30:00,a001
14:45:00,2016-11-08,64,0,14:45:00,59,1,45,2016-11-08 14:45:00,a001
15:00:00,2016-11-08,64,13,15:00:00,60,1,45,2016-11-08 15:00:00,a001
15:15:00,2016-11-08,63,0,15:15:00,61,1,45,2016-11-08 15:15:00,a001
15:30:00,2016-11-08,61,0,15:30:00,62,1,45,2016-11-08 15:30:00,a001
15:45:00,2016-11-08,65,0,15:45:00,63,1,45,2016-11-08 15:45:00,a001
16:00:00,2016-11-08,70,0,16:00:00,64,1,45,2016-11-08 16:00:00,a001
16:15:00,2016-11-08,67,0,16:15:00,65,1,45,2016-11-08 16:15:00,a001
16:30:00,2016-11-08,66,0,16:30:00,66,1,45,2016-11-08 16:30:00,a001
16:45:00,2016-11-08,65,0,16:45:00,67,1,45,2016-11-08 16:45:00,a001
17:00:00,2016-11-08,65,0,17:00:00,68,1,45,2016-11-08 17:00:00,a001
17:15:00,2016-11-08,56,0,17:15:00,69,1,45,2016-11-08 17:15:00,a001
17:30:00,2016-11-08,54,0,17:30:00,70,1,45,2016-11-08 17:30:00,a001
17:45:00,2016-11-08,67,48,17:45:00,71,1,45,2016-11-08 17:45:00,a001
18:00:00,2016-11-08,95,763,18:00:00,72,1,45,2016-11-08 18:00:00,a001
18:15:00,2016-11-08,80,0,18:15:00,73,1,45,2016-11-08 18:15:00,a001
18:30:00,2016-11-08,87,0,18:30:00,74,1,45,2016-11-08 18:30:00,a001
18:45:00,2016-11-08,80,0,18:45:00,75,1,45,2016-11-08 18:45:00,a001
19:00:00,2016-11-08,81,16,19:00:00,76,1,45,2016-11-08 19:00:00,a001
19:15:00,2016-11-08,80,0,19:15:00,77,1,45,2016-11-08 19:15:00,a001
19:30:00,2016-11-08,78,0,19:30:00,78,1,45,2016-11-08 19:30:00,a001
19:45:00,2016-11-08,75,0,19:45:00,79,1,45,2016-11-08 19:45:00,a001
20:00:00,2016-11-08,69,0,20:00:00,80,1,45,2016-11-08 20:00:00,a001
20:15:00,2016-11-08,75,15,20:15:00,81,1,45,2016-11-08 20:15:00,a001
20:30:00,2016-11-08,78,92,20:30:00,82,1,45,2016-11-08 20:30:00,a001
20:45:00,2016-11-08,92,726,20:45:00,83,1,45,2016-11-08 20:45:00,a001
21:00:00,2016-11-08,123,1269,21:00:00,84,1,45,2016-11-08 21:00:00,a001
21:15:00,2016-11-08,145,1711,21:15:00,85,1,45,2016-11-08 21:15:00,a001
21:30:00,2016-11-08,144,1543,21:30:00,86,1,45,2016-11-08 21:30:00,a001
21:45:00,2016-11-08,111,870,21:45:00,87,1,45,2016-11-08 21:45:00,a001
22:00:00,2016-11-08,0,0,22:00:00,88,1,45,2016-11-08 22:00:00,a001
22:15:00,2016-11-08,0,0,22:15:00,89,1,45,2016-11-08 22:15:00,a001
22:30:00,2016-11-08,0,0,22:30:00,90,1,45,2016-11-08 22:30:00,a001
22:45:00,2016-11-08,0,0,22:45:00,91,1,45,2016-11-08 22:45:00,a001
23:00:00,2016-11-08,0,0,23:00:00,92,1,45,2016-11-08 23:00:00,a001
23:15:00,2016-11-08,0,0,23:15:00,93,1,45,2016-11-08 23:15:00,a001
